# touch_trace  screen=800x480  portrait=0
# raw_range X[-35..4167] Y[-233..4335]
# calib_enabled=1 raw_range X[-35..4167] Y[-233..4335]
# bezel(UI) T=15 B=15 L=0 R=0
# columns: raw_x raw_y cal_x cal_y est_x est_y
1724 0 334 24 334 24
1693 0 328 24 328 24
1677 0 325 24 325 24
1600 0 310 24 311 24
1561 0 303 24 303 24
1488 36 289 28 289 28
1488 1 289 24 289 24
1471 1 286 24 286 24
1446 19 281 26 281 26
1420 11 276 25 277 25
1407 6 274 25 274 25
1382 4 269 24 269 24
1352 8 263 25 264 25
1265 8 247 25 247 25
1268 0 247 24 248 24
1225 0 239 24 239 24
1096 0 215 24 215 24
916 0 180 24 181 24
900 0 177 24 178 24
861 0 170 24 170 24
833 19 165 26 165 26
740 0 147 24 147 24
763 0 151 24 151 24
741 0 147 24 147 24
729 0 145 24 145 24
707 27 141 27 141 27
688 15 137 26 137 26
663 8 132 25 132 25
624 5 125 24 125 25
568 0 114 24 114 24
568 35 114 28 114 28
568 19 114 26 114 26
551 10 111 25 111 25
528 6 107 25 107 25
501 4 101 24 102 24
487 3 99 24 99 24
466 2 95 24 95 24
434 2 89 24 89 24
418 2 86 24 86 24
396 2 81 24 82 24
365 2 76 24 76 24
331 2 69 24 69 24
314 2 66 24 66 24
288 2 61 24 61 24
263 2 56 24 56 24
268 2 57 24 57 24
248 2 53 24 53 24
211 2 46 24 46 24
192 2 43 24 43 24
163 2 37 24 37 24
138 2 32 24 32 24
126 2 30 24 30 24
108 2 27 24 27 24
99 2 25 24 25 24
84 2 22 24 22 24
88 2 23 24 23 24
80 2 21 24 21 24
67 2 19 24 19 24
46 2 15 24 15 24
36 15 13 26 13 26
23 9 11 25 11 25
16 5 9 24 9 25
13 3 9 24 9 24
11 2 8 24 8 24
10 2 8 24 8 24
0 0 6 24 6 24
0 75 6 32 6 32
0 120 6 37 6 37
0 155 6 40 6 40
0 171 6 42 6 42
0 233 6 48 6 48
0 330 6 59 6 59
0 364 6 62 6 62
0 393 6 65 6 65
0 422 6 68 6 68
0 540 6 81 6 81
0 740 6 102 6 102
0 725 6 100 6 100
0 745 6 102 6 102
0 756 6 103 6 103
0 880 6 116 6 116
0 992 6 128 6 128
0 1031 6 132 6 132
0 1043 6 133 6 134
0 1081 6 137 6 138
0 1126 6 142 6 142
0 1178 6 147 6 148
0 1228 6 153 6 153
0 1229 6 153 6 153
0 1264 6 156 6 157
0 1313 6 162 6 162
0 1354 6 166 6 166
0 1400 6 171 6 171
0 1396 6 170 6 171
27 1456 11 177 11 177
27 1495 11 181 11 181
15 1549 9 186 9 187
8 1576 8 189 8 190
5 1589 7 191 7 191
3 1596 7 191 7 192
2 1649 7 197 7 197
2 1698 7 202 7 202
2 1750 7 207 7 208
2 1800 7 213 7 213
2 1813 7 214 7 214
2 1856 7 219 7 219
2 1899 7 223 7 224
2 1921 7 225 7 226
2 1972 7 231 7 231
2 2019 7 236 7 236
2 2055 7 239 7 240
2 2093 7 243 7 244
2 2130 7 247 7 248
2 2164 7 251 7 251
2 2152 7 250 7 250
2 2188 7 253 7 254
2 2227 7 257 7 258
2 2247 7 260 7 260
2 2277 7 263 7 263
2 2312 7 266 7 267
2 2329 7 268 7 269
2 2346 7 270 7 270
2 2418 7 277 7 278
2 2454 7 281 7 282
0 2464 6 282 6 283
0 2491 6 285 6 286
0 2517 6 288 6 288
0 2530 6 289 6 290
0 2536 6 290 6 290
0 2577 6 294 6 295
0 2640 6 301 6 301
0 2649 6 302 6 302
16 2684 9 305 9 306
1 2684 6 305 6 306
1 2707 6 308 6 308
1 2733 6 311 6 311
1 2736 6 311 6 311
1 2737 6 311 6 312
1 2774 6 315 6 315
1 2804 6 318 6 319
1 2805 6 318 6 319
1 2806 6 318 6 319
1 2836 6 321 6 322
1 2851 6 323 6 324
1 2875 6 325 6 326
1 2899 6 328 6 329
1 2929 6 331 6 332
1 2944 6 333 6 333
1 2975 6 336 6 337
1 2991 6 338 6 338
1 3007 6 339 6 340
1 3015 6 340 6 341
1 3019 6 341 6 341
1 3047 6 343 6 344
1 3061 6 345 6 346
1 3076 6 346 6 347
1 3091 6 348 6 349
1 3083 6 347 6 348
1 3102 6 349 6 350
1 3104 6 349 6 350
1 3135 6 353 6 353
1 3151 6 354 6 355
1 3167 6 356 6 357
1 3195 6 359 6 360
1 3231 6 363 6 363
1 3259 6 366 6 366
1 3273 6 367 6 368
1 3294 6 369 6 370
1 3312 6 371 6 372
1 3349 6 375 6 376
1 3336 6 374 6 375
1 3329 6 373 6 374
1 3363 6 377 6 377
1 3373 6 378 6 378
1 3386 6 379 6 380
1 3392 6 380 6 380
1 3352 6 375 6 376
1 3384 6 379 6 380
1 3401 6 381 6 381
1 3420 6 383 6 383
1 3437 6 384 6 385
1 3488 6 390 6 390
1 3489 6 390 6 391
1 3500 6 391 6 392
